"Report number","Report date","President","President last name","Administration","Location","Purpose/Mission","Purpose detail","Military activity","Military activity detail","Type of enemy or mission","Type of enemy or mission detail","Hostilities/imminent hostilities reported 4(a)(1)","Combat-equipped introduction reported 4(a)(2)","Substantial enlargement reported 4(a)(3)","48-Hour WPR Report Trigger","Domestic Legal Authority","Domestic Legal Authority detail","Estimated scope and duration","Estimated scope and duration detail","Stated scope and duration","Actual scope and duration","Joint/Coalition Mission","Joint/Coalition Mission Details","Claimed International Legal Basis","Claimed International Legal Basis Detail","US casualties","US casualties detail","Non-US casualties","Non-U.S. casualties detail","Article 51 Report to UN","Article 51 detail","Link to Article 51 Report to UN","Related reports","Report file"
"19940412B","1994-04-12","Bill Clinton","Clinton","First Term","[""Burundi""]","[""Evacuation""]","""Combat-equipped U.S. military forces began deploying to Burundi to be in a position to conduct possible noncombatant evacuation operations of U.S. citizens and designated third-country nationals.""","[""Air operations"",""Use of ground forces""]","""During April 9–10, 275 Marines were air-lifted via C–130 aircraft to Bujumbura, Burundi. (A total of 328 U.S. Armed Forces personnel deployed to Burundi, including aircrews.)""","[""Rescue/Evacuation of nationals""]","Evacuation of U.S. citizens and ""designated third-country nationals""","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I took these actions pursuant to my constitutional authority to conduct foreign relations and as Commander in Chief.""","Scope/duration specified","Completed after evacuation","Yes","1-2 days","No",,"[""Unknown""]",,"No","""no casualties were suffered by U.S. forces in this operation.""","Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/2gPFXPpM09Ml6psjI333H1/e4f3b558d22a259382c9a80401ffeb73/19940412-Clinton-Burundi.pdf"
"19940412A","1994-04-12","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina""]","[""Stabilization""]","""to provide protection for U.N. personnel who came under attack in Gorazde, Bosnia-Herzegovina""","[""Air operations""]","""close air support (CAS) strikes on the Bosnian-Serb firing positions""; ""two U.S. aircraft... engaged Bosnian-Serb targets;"" ""U.N. personnel in Gorazde requested NATO air support after again coming under attack by Bosnian-Serb gunners. United States F/A–18 aircraft... were successful in neutralizing Bosnian-Serb targets that had been firing on the city.""","[""Nation-state""]","Bosnian-Serbs","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have directed the participation of U.S. Armed Forces in this effort pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief.""","Mission-bound but indeterminate","""United States forces will continue to serve as part of this important NATO enforcement effort and will remain prepared to respond to U.N. and NATO requests for further action against those who violate these decisions... It is not now possible to determine the duration of this operation.""","No","Unknown","Yes","UN and NATO","[""UN Security Council authorization""]","UNSCRs 713, 824, 836, 844","No","""There were no NATO or U.N. casualties as a result of the operations on April 10 and 11, 1994.""","Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940419A"",""19940822A"",""19941122A"",""19950901A"",""19951206A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/7rsdQlMC6nsmht46f2BJLd/ca38e1a47dd3988b84c96674263f14f2/19940412-Clinton-Bosnia-Herzegovia.pdf"
"19940419A","1994-04-19","Bill Clinton","Clinton","First Term","[""Former Yugoslav Republic of Macedonia""]","[""Stabilization""]","UN-authorized ""mission of monitoring and reporting developments... that could signify a threat to the Former Yugoslav Republic of Macedonia""; prevent conflict in former Yugoslavia from spreading","[""Use of ground forces""]","Deployment of ""reinforced company of approximately 200 personnel to augment the U.S. Army contingent""","[""Nation-state""]","Former Yugoslavia","No, as described in/inferred from report","No, as described in/inferred from report","Yes, described in/inferred from report","[""Substantial enlargement (WPR §4(a)(3))""]","[""Constitution (Art. II)""]","""I have ordered the deployment of U.S. Armed Forces for these purposes pursuant to my constitutional authority to conduct foreign relations and as Commander in
Chief.""","None provided",,"No","Unknown","Yes","United Nations Protection Force (UNPROFOR) in the former Yugoslav Republic of Macedonia, including troops from Norway, Sweden, Finland, and Denmark","[""UN Security Council authorization""]","The related Jan. 8, 1994 report cites UNSCR 842","No","""there have been no U.S. casualties since the operation began""","Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940822A"",""19941122A"",""19950901A"",""19951206A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/yRVzDwAmPXV2Y6NE0syeP/99a2950933a28c0772cd968c42c2d01b/19940419-Clinton.pdf"
"19940801A","1994-08-01","Bill Clinton","Clinton","First Term","[""Rwanda""]","[""Humanitarian""]","""establish and operate a logistics base to support UNHCR humanitarian relief operations""; ""open a logistic coordination center for receiving and distributing relief supplies, provide airfield services and cargo handling, and provide security for the airport at Kigali""","[""Use of ground forces""]","Deployment of ""a contingent of U.S. forces, numbering approximately 200, to the airport at Kigali.""","[""Other""]","Humanitarian relief","No, as described in/inferred from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken these actions pursuant to my constitutional authority to conduct our foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""United States Armed Forces will remain in Rwanda only as long as necessary to assist the UNHCR in establishing an effective distribution mechanism for humanitarian relief support to the Rwandan people. While it is not possible to estimate precisely how long it will take to satisfy this requirement, we believe that prolonged operations will not be necessary.""","No","Unknown","Yes","""Other forces from Australia and the United Kingdom are committed to this effort in Kigali as well.""","[""UN Security Council authorization""]","UNSCRs 929, 925, 918","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/OW4t6Ko9qhirERV7Ef7DY/6830cd7fdaf87c23701c7ff76fca8501/19940801-Clinton.pdf"
"19940822A","1994-08-22","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina""]","[""Stabilization""]","Support for UN and NATO ""efforts to achieve peace and security in Bosnia-Herzegovina""","[""Air operations""]","""use of United States combat aircraft on August 5 to attack Bosnian Serb heavy weapons in the Sarajevo heavy weapons exclusion zone""","[""Nation-state""]","Former Yugoslavia","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have directed the participation by U.S. Armed Forces in this effort pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Scope/duration specified","Completed after strikes executed","Yes","1-2 days","Yes","UN and NATO","[""UN Security Council authorization""]","UNSCR 713, 824","No","""No U.S. personnel were injured or killed nor was U.S. equipment damaged in connection with this action.""","Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940419A"",""19941122A"",""19950901A"",""19951206A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/6ukyCZG5gOKpsS5D9pSPQH/ebb7cbefd1281ee9e94c35662b744593/19940822-Clinton.pdf"
"19940921A","1994-09-21","Bill Clinton","Clinton","First Term","[""Haiti""]","[""Stabilization""]","""transition between the de facto government and the elected government in Haiti""; ""to ensure the establishment and maintenance of a secure and stable environment.""","[""Air operations"",""Use of naval forces/vessels"",""Use of ground forces""]","""Air-landed and seaborne U.S. forces successfully secured initial entry points at Port au Prince International Airport and the Port au Prince port facilities. Approximately 1,500 troops were involved in these initial efforts.""","[""Nation-state""]","Haitian ""coup leaders"" departing from power","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have ordered this deployment of U.S. Armed Forces pursuant to my constitutional authority to conduct foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""As to the duration of the mission, our presence in Haiti will not be open-ended. As I indicated on September 18, the coalition will be replaced after a period of months by a U.N. peacekeeping force, the U.N. Mission in Haiti (UNMIH).""","No","Unknown","Yes","""I ... directed the deployment of U.S. Armed Forces to Haiti as part of the multinational coalition provided for by U.N. Security Council Resolution 940 of July 31, 1994.""","[""UN Security Council authorization""]","UNSCR 940","No","""No resistance was encountered and there were no U.S. casualties.""","Unknown","""No resistance was encountered... There has not been armed resistance to the deployment.""","Not applicable because no self-defense claim",,,"[""19931020A""]","//assets.ctfassets.net/6hn51hpulw83/5giRjKPtdvcN4BnXbuPGIZ/12a398b29d36d67909c38ef1c460fe49/19940921-Clinton.pdf"
"19941122A","1994-11-22","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina"",""Croatia""]","[""Stabilization""]","""to carry out the U.N. and NATO decisions of November 19 and to answer UNPROFOR’s request for assistance.""","[""Air operations""]","""the use of U.S. combat aircraft on November 21, 1994, to attack airfields and related facilities in Serb held Croatian territory used by Serb forces to launch air strikes against the town of Bihac in Bosnia-Herzegovina""","[""Nation-state""]","Former Yugoslavia","Yes, described in/inferred from report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))"",""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have directed the participation by U.S. Armed Forces in this effort pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Scope/duration specified","Completed after strikes executed","No","1-2 days","Yes","""The NATO strikes launched on November 21, 1994, included 39 aircraft from the Netherlands, France, United Kingdom, NATO, and the United States.""","[""UN Security Council authorization""]","UNSCRs 713, 824, 836, 958 (""In response to the Serb attacks, the United Nations Security Council unanimously adopted UNSCR 958 on November 19, 1994, expressly deciding that the authorizations in previous resolutions also applied in the Republic of Croatia."")","No","""No aircraft were lost or damaged in conducting the attacks""","Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940419A"",""19940822A"",""19950901A"",""19951206A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/3Gyj7SLuEzyAjezHkvjXsr/1b10c1ae7996f06a0026e4ef00980678/19941122-Clinton.pdf"
"19950301A","1995-03-01","Bill Clinton","Clinton","First Term","[""Somalia""]","[""Humanitarian""]","""to assist in the withdrawal of U.N. forces assigned to the United Nations Operation in Somalia (UNOSOM II)""; ""as part of the U.S. long-standing commitment to UN humanitarian efforts in Somalia""","[""Use of naval forces/vessels"",""Use of ground forces""]","""combat-equipped U.S. Armed Forces personnel began deployment into Mogadishu, Somalia, to assist in the withdrawal of U.N. forces assigned to the United Nations Operation in Somalia (UNOSOM II);"" ""The U.S. forces include the USS Essex Amphibious Readiness Group, the USS Belleau Wood, the Special Marine Air-to-Ground Task Force, and Special Operations forces including four AC–130 gunships""","[""Other""]","Humanitarian relief","No, as stated in report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""It is my intention that this will be an operation of short duration whose only purpose is to assist in the withdrawal of UNOSOM II forces.""","No","Unknown","Yes","""The withdrawal operation is a coalition effort consisting of forces from Italy, the United Kingdom, France, Pakistan, Malaysia, Bangladesh, and the United States.""","[""UN Security Council authorization""]","UNSCR 794","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/66US9bx3lRHQq3Wkl2s0hp/148864879a25370d97f8d22506c5753d/19950301-Clinton.pdf"
"19950901A","1995-09-01","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina""]","[""Stabilization""]","""to reduce the threat to the Sarajevo safe area and to deter further attacks there or in any other safe area""","[""Air operations""]","""use of U.S. combat and support aircraft... in a series of NATO air strikes against Bosnian Serb Army (BSA) forces in Bosnia-Herzegovina that were threatening the U.N.-declared safe areas of Sarajevo, Tuzla, and Gorazde."" (300 sorties against 23 targets on first day)","[""Nation-state""]","Bosnian Serb Army","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have directed the participation of U.S. forces in this effort pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""These operations will continue until NATO and U.N. commanders determine that they have achieved their aims.""","No","Unknown","Yes","NATO, UN","[""UN Security Council authorization""]","UNSCR 824, 836","No","""No U.S. aircraft were destroyed during the strikes nor were any U.S. personnel killed, wounded, or captured.""","Unknown","""The aircraft struck a variety of BSA targets, including heavy weapons emplacements, command and control facilities, communications sites, air defense sites, and ammunition facilities. Initial reports suggest that the strikes were successful in damaging or destroying a number of BSA targets.""","Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940419A"",""19940822A"",""19941122A"",""19951206A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/2P0Gg9gwjK4GMkwdr0LQmh/d4c297fe60813124f0ffad7f84e24a8f/19950901-Clinton.pdf"
"19951206A","1995-12-06","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina"",""Croatia"",""Hungary"",""Italy""]","[""Stabilization""]","""to lay the groundwork for the prompt and safe deployment of the NATO-led Implementation Force (IFOR)"" following signing of peace agreement","[""Use of ground forces""]","""deployment of approximately 1,500 U.S. military personnel to Bosnia and Herzegovina and Croatia as part of a NATO ‘enabling force’ to lay the groundwork for the prompt and safe deployment of the NATO-led Implementation Force (IFOR)” to implement peace agreement after its signing; ""deployment of approximately 3,000 additional U.S. military personnel to Hungary, Italy, and Croatia in order to establish forward U.S. support infrastructure for the enabling force and the IFOR.""","[""Other""]","Stabilization following initialing of peace agreement","No, as described in/inferred from report","Yes, stated or used terms in statute","Yes, described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))"",""Substantial enlargement (WPR §4(a)(3))""]","[""Constitution (Art. II)""]","""I have directed the participation of U.S. forces in these operations pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","None provided",,"No","Unknown","Yes","NATO ""enabling force""; ""Among the nations providing forces to the enabling force are the United Kingdom, France, Germany, and Canada.""","[""Unknown""]","""I authorized these deployments in conjunction with our NATO allies following [North Atlantic Council] decisions to permit implementation of the peace agreement...""","No",,"Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940419A"",""19940822A"",""19941122A"",""19950901A"",""19951221A""]","//assets.ctfassets.net/6hn51hpulw83/3nYFEVrD3B1k2u7vNLvcic/ef6e85346c5eb28719c6b18de1b8a70f/19951206-Clinton.pdf"
"19951221A","1995-12-21","Bill Clinton","Clinton","First Term","[""Bosnia and Herzegovina"",""Croatia"",""Hungary"",""Italy""]","[""Stabilization""]","""The IFOR’s mission... is to monitor and help ensure compliance by all parties with the military aspects of the peace agreement.""","[""Use of ground forces"",""Use of naval forces/vessels"",""Air operations""]","To participate in IFOR, ""approximately 20,000 U.S. military personnel"" will deploy to Bosnia and Herzegovina with approximately 5,000 more to ""other states of the former Yugoslavia""; Also, ""approximately 7,000 U.S. support forces, under U.S. command and control... will deploy in Hungary, Croatia, Italy, and other states in the region in support of IFOR""; ""participating U.S. forces include ... naval and air forces""","[""Other""]","Monitor compliance with peace agreement","No, as described in/inferred from report","No, as described in/inferred from report","Yes, described in/inferred from report","[""Substantial enlargement (WPR §4(a)(3))""]","[""Constitution (Art. II)""]","""I have directed the participation of U.S. forces pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Scope/duration specified","""NATO and U.S. military commanders believe, and I expect, that the military mission can be accomplished in about a year.""","No","Unknown","Yes","""All of our NATO allies are contributing forces as well (except for Iceland, which has no military). Non-NATO nations whose offers to provide forces to IFOR are under consideration include Austria, the Czech Republic, Estonia, Finland, Hungary, Latvia, Lithuania, Pakistan, Poland, Romania, Russia, Slovakia, Sweden, and Ukraine.""","[""UN Security Council authorization""]","UNSCR 1031","Yes","Reported on Dec. 20, 1996: ""During IFOR’s one-year mission, U.S. forces sustained a total of 13 fatalities, all resulting from accidents. Twenty-one American servicemembers were also injured in accidents.""","Unknown",,"Not applicable because no self-defense claim",,,"[""19930413A"",""19930709A"",""19940217A"",""19940301A"",""19940412A"",""19940419A"",""19940822A"",""19941122A"",""19950901A"",""19951206A""]","//assets.ctfassets.net/6hn51hpulw83/6sArocOQ7WTmB95pKXSpKc/cbf578509adde91316f809e560c5c1b2/19951221-Clinton.pdf"
"19960411A","1996-04-11","Bill Clinton","Clinton","First Term","[""Liberia"",""Sierra Leone"",""Senegal""]","[""Evacuation""]","Evacuate ""private U.S. citizens and certain third-country nationals who have taken refuge in the U.S. Embassy compound wishing to leave"" Liberia; ""to reinforce and assist the American Embassy""","[""Air operations"",""Use of naval forces/vessels"",""Use of ground forces""]","Operation Assured Response, involving approximately 140 military personnel, is ""using MH–53 helicopters staged from Freetown, Sierra Leone"" with a ""small number of U.S. military aircraft"" supporting from Senegal; Deployment ""of U.S. Navy amphibious forces to the region to transport evacuees, if required.""","[""Embassy protection"",""Rescue/Evacuation of nationals""]","""factions led by Charles Taylor and Roosevelt Johnson involved in the civil war"" and ""groups of angry civilians"" in Liberia","Yes, described in/inferred from report","Yes, stated or used terms in statute","Insufficient information to infer from report","[""Combat-equipped introduction (WPR §4(a)(2))"",""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""I therefore expect that this operation will be of limited duration.""","No","Unknown","No",,"[""Unknown""]",,"No","""A number of our helicopters have been fired upon, but have not been hit.""","Unknown",,"Not applicable because no self-defense claim",,,"[""19960520A""]","//assets.ctfassets.net/6hn51hpulw83/4pwHOeMIcIZYMUzg7kW8Ks/08407a13bf3c478f462c8f6308e4e765/19960411-Clinton.pdf"
"19960520A","1996-05-20","Bill Clinton","Clinton","First Term","[""Liberia""]","[""Evacuation""]","Evacuate U.S. citizens and third-country nationals from Monrovia","[""Use of ground forces""]","""Approximately 280 Marines and other U.S. military personnel from the total U.S. force of 2,500 are currently ashore at the American Embassy complex.""; ""Marines returned fire"" in response to several attacks at the Embassy","[""Embassy protection""]","Unrest in ""strife-torn city"" of Monrovia, Liberia ","Yes, described in/inferred from report","No, as described in/inferred from report","No, as described in/inferred from report","[""Hostilities or imminent hostilities (WPR §4(a)(1))""]","[""Constitution (Art. II)""]","""I have directed the continued deployment of U.S. forces to Liberia pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""Our goal is to redeploy U.S. forces once there is no longer a need for enhanced security at the Embassy and a requirement to maintain an on-scene evacuation capability.""","No","Unknown","No",,"[""Unknown""]",,"Yes","Two U.S. Marines grazed by rounds","Yes","At least four fatalities (Marines returned fire ""killing two or more attackers. ... The Marines again returned fire, this time killing two or more attackers."")","Not applicable because no self-defense claim",,,"[""19960411A""]","//assets.ctfassets.net/6hn51hpulw83/4GrbGQ9Thb5uZ87dHyU9r4/b311004ede72d428acce2fc018e4010c/19960520-Clinton.pdf"
"19960523A","1996-05-23","Bill Clinton","Clinton","First Term","[""Central African Republic""]","[""Evacuation""]","Evacuate private U.S. citizens and certain U.S. government employees; ""to defend American lives and property""","[""Air operations"",""Use of ground forces""]","""Approximately 32 U.S. Marines... took up positions in and around the American Embassy compound"" and ""deployed to the international airport in order to assist in processing evacuees""; ""Evacuation operations"" involve ""a U.S. KC–130 cargo aircraft operating into Yaounde, Cameroon.""","[""Embassy protection""]","""heavy fighting... between government forces and mutinous troops in the capital city of Bangui, Central African Republic.""","No, as stated in report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""U.S. forces will redeploy as soon as evacuation operations are complete and enhanced security at the American Embassy is no longer required.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/5QHXgq0658iuBf4DWQJfNP/73b69ce3d8fe15282fe85c42d08679ca/19960523-Clinton.pdf"
"19961202A","1996-12-02","Bill Clinton","Clinton","First Term","[""Rwanda"",""Republic of Zaire"",""Uganda""]","[""Humanitarian""]","Humanitarian operation for Rwandan civilians","[""Air operations"",""Use of ground forces""]","Approximately 400 personnel deployed ""in furtherance of ‘Operation Guardian Assistance’"" ""to conduct non-combat missions, including airlift, air control, and related services in support of ongoing humanitarian efforts""; ""conduct aerial surveys throughout the Great Lakes region""","[""Other""]","""humanitarian situation in Rwanda and the Great Lakes region of eastern Zaire""","No, as stated in report","Yes, described in/inferred from report","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""The aircraft will remain in the area as long as aerial survey efforts are required by relief efforts.""","No","Unknown","Yes","Canada, UN","[""UN Security Council authorization""]","UNSCR 1080","Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/45RWMUfXCxz0xPilKVns8p/6731a57815e3fb5fa60eba178d227442/19961202-Clinton.pdf"
"19970315A","1997-03-15","Bill Clinton","Clinton","Second Term","[""Albania""]","[""Evacuation""]","""to provide enhanced security for the American Embassy in Tirana and to conduct the evacuation of certain U.S. Government employees and private U.S. citizens""","[""Air operations"",""Use of ground forces"",""Use of naval forces/vessels""]","""Approximately 25 U.S. Marines... took up positions in and around the American Embassy compound. Evacuation operations began concurrently as U.S. CH–46 helicopters operating from the USS Nassau amphibious ready group transported approximately 50 U.S. citizens to U.S. Navy ships at sea""; rescue helicopters ""escorted by AH–1W Cobra helicopters... came under fire but were not damaged during separate, sporadic incidents""; ""a 150-member Marine rifle company has also been inserted near the American Embassy to provide additional security for the evacuation""","[""Rescue/Evacuation of nationals"",""Embassy protection""]","Embassy security and evacuation","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive.""","Scope/duration specified","""Evacuation efforts resumed on March 14 and are expected to continue for several days.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/3SlZeYS7pgCWirI8DoIDhr/b8e456542e4a8b59bc7a10b30e23fe36/19970315-Clinton.pdf"
"19970327A","1997-03-27","Bill Clinton","Clinton","Second Term","[""Gabon"",""Republic of the Congo""]","[""Protect US citizens, property""]","""provide enhanced security for the more than 300 American private citizens, government employees, and selected third country nationals in Kinshasa""; ""solely for the purpose of preparing to protect American citizens and property""","[""Use of naval forces/vessels"",""Use of ground forces""]","Deployment of ""Joint Task Force Headquarters, fixed-wing and rotary aircraft, airport control and support equipment, and medical and security personnel and equipment. In addition, USS Nassau, with a Marine Battalion Landing Team and a helicopter squadron reinforced with fixed-wing AV–8 Harrier aircraft embarked, is moving into the area.""","[""Embassy protection"",""Rescue/Evacuation of nationals""]","""potential for civil disorder and general unrest in Kinshasa""","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""United States forces will redeploy as soon as it is determined that an evacuation is not necessary or, if necessary, is completed.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/7vWwSFvIuFzRj5BP5FTaO6/0b2e038c14b70a7cd4213e5811d12c0b/19970327-Clinton.pdf"
"19970530A","1997-05-30","Bill Clinton","Clinton","Second Term","[""Sierra Leone""]","[""Evacuation""]","""evacuation of certain U.S. Government employees and private U.S. citizens"" from Sierra Leone","[""Use of ground forces"",""Use of naval forces/vessels"",""Air operations""]","""...approximately 200 U.S. military personnel, including an 11-member special forces detachment, were positioned in Freetown""; ""U.S. military helicopters transported U.S. citizens and designated third-country nationals to immediate safety""","[""Rescue/Evacuation of nationals"",""Embassy protection""]","""disorder and violence in Freetown"" by Sierra Leone Military Forces (RSLMF)","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct the foreign relations of the United States and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","""United States forces will redeploy as soon as evacuation operations are complete and enhanced security at locations in and around Freetown is no longer required.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/sb3tWGfLeFKWfwxinil0l/2ed74f51fcc9ec2075d9b942ba1589fc/19970530-Clinton.pdf"
"19970711A","1997-07-11","Bill Clinton","Clinton","Second Term","[""Thailand""]","[""Evacuation""]","""possible emergency non-combatant evacuation operations in Cambodia""","[""Use of ground forces"",""Air operations""]","A ""Joint Task Force of approximately 550 U.S. military personnel"" including ""a forward headquarters element, fixed-wing and rotary aircraft, airport control and support equipment, and medical and security personnel and equipment"" deployed ""to establish an intermediate staging base"" in Thailand ""for possible emergency non-combatant evacuation operations in Cambodia""","[""Rescue/Evacuation of nationals""]","Potential evacuation","No, as described in/inferred from report","Yes, stated or used terms in statute","No, as described in/inferred from report","[""Combat-equipped introduction (WPR §4(a)(2))""]","[""Constitution (Art. II)""]","""I have taken this action pursuant to my constitutional authority to conduct U.S. foreign relations and as Commander in Chief and Chief Executive.""","Mission-bound but indeterminate","U.S. forces ""will redeploy as soon as an evacuation is determined to be unnecessary or, if necessary, is completed.""","No","Unknown","No",,"[""Unknown""]",,"Unknown",,"Unknown",,"Not applicable because no self-defense claim",,,,"//assets.ctfassets.net/6hn51hpulw83/48W5goEG4h0WihdCVaAwzZ/8f3f8262a6e24380c4870410356d2954/19970711-Clinton.pdf"
